00:05:40 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:06:45 16-01-2017	 ERROR		 sample.MainGuiController 	Error al processar venta.
00:06:59 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:07:00 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:07:09 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:09:33 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:09:34 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:09:39 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:15:35 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:15:35 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:15:43 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:16:31 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:16:32 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:16:42 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:17:45 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:17:46 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:18:11 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:19:20 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:19:21 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:19:46 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:20:21 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:20:22 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:20:44 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:22:20 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:22:20 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:24:45 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:24:45 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:24:55 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:26:45 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:26:46 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:26:53 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:28:07 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:28:07 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:28:20 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:28:55 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:29:23 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:29:24 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:29:45 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:30:28 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:30:29 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:30:50 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:32:13 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:32:14 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:32:34 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:34:04 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:34:05 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:34:23 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:36:49 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:36:50 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:37:04 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:38:16 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:38:16 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:38:31 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:39:40 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:39:41 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:39:56 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:41:15 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:41:16 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:41:23 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:42:28 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:42:29 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:42:36 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:43:13 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:43:14 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:43:22 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:46:10 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
00:46:10 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
00:46:17 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:08:23 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:08:24 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:08:49 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:10:55 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:10:56 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:11:34 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:14:08 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:14:09 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:14:37 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:16:46 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:16:46 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:16:59 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:22:05 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:22:06 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:23:25 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:23:26 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:23:43 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:26:25 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:26:26 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:26:34 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:28:21 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:28:22 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:28:35 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:29:35 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:29:36 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:30:01 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:31:34 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:31:34 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:31:41 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:36:48 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:36:48 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:36:59 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:37:37 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:37:37 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:37:59 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:53:52 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:53:53 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:54:02 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:54:44 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:54:45 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:54:54 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:56:52 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:56:52 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:57:02 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:57:58 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:57:59 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:58:06 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:58:43 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
11:58:43 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
11:58:49 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
12:00:56 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
18:33:16 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
18:33:16 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
18:34:29 16-01-2017	 INFO		 sample.MainGuiController$5 	admin elimino entrada de vengas adfadf 15/01/2017 1	Tornillos			5.0
.
18:42:35 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
18:42:35 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
18:42:43 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas adfd 15/01/2017 1	Tornillos			5.0
.
18:42:44 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:46 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:49 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:50 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:56 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:57 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:57 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:58 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:42:58 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:43:00 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:43:08 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas d 16/01/2017    #                 Producto: Precio:
   1                    Lentes   60.0
.
18:43:09 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:43:26 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas daf 16/01/2017    #                 Producto:                   Precio:
   1                    Lentes                      60.0
.
18:43:28 16-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
18:43:42 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas df 16/01/2017                         #                Producto:                  Precio:
                        0                   Lentes                     60.0
                        2          Camisas V Large                     25.0
                        1         Pantalones Levis                     40.0
.
18:54:04 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
18:54:04 16-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
18:56:39 16-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:01:02 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas daf 15/01/2017 1	Tornillos			5.0
.
19:01:12 16-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas da 15/01/2017 1	Tornillos			5.0
.
19:29:35 17-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:29:36 17-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
19:30:14 17-01-2017	 ERROR		 sample.MainGuiController 	Line FloatingDecimal.java FILE FloatingDecimal.java empty String.
19:30:33 17-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:30:48 17-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:48:54 17-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
19:48:55 17-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
19:49:15 17-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas dfdf 16/01/2017    #                          Producto:                            Precio:
   0                             Lentes                                                                                                                                                                                                                                                                                                                                                               60.0
   1                   Camisas V Medium                                                                                                                                                                                                                                                                                                                                                               25.0
   1                    Camisas V Large                                                                                                                                                                                                                                                                                                                                                               25.0
   1                    Camisas V Small                                                                                                                                                                                                                                                                                                                                                               25.0
   1            Pantalones Cortos Levis                                                                                                                                                                                                                                                                                                                                                               35.0
   1                   Pantalones Levis                                                                                                                                                                                                                                                                                                                                                               40.0
.
20:52:24 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:52:25 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
20:52:38 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:52:38 23-01-2017	 INFO		 sample.MainGuiController 	Enty ID: 1 successfully updated.
20:52:45 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:53:11 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:56:46 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:58:32 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
20:58:33 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
20:59:05 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:20:49 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:20:50 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:21:04 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:21:04 23-01-2017	 INFO		 sample.MainGuiController 	Enty ID: 5 successfully updated.
23:21:10 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:21:10 23-01-2017	 INFO		 sample.MainGuiController 	Enty ID: 7 successfully updated.
23:21:32 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:25:00 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:25:01 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:25:11 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:25:11 23-01-2017	 INFO		 sample.MainGuiController 	Enty ID: 2 successfully updated.
23:27:32 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:29:29 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:29:30 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:29:37 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:32:42 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:32:43 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:32:53 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:34:25 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:34:26 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:34:38 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:35:03 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:35:04 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:35:32 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:36:22 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:36:23 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:37:43 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:37:43 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:44:53 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:44:54 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
